student_id,age,gender,course,semester,study_hours,sleep_hours,internet_usage_hours,extracurricular_activity,stress_level,physical_activity_hours,attendance_percentage,assignment_score,internal_exam_score,previous_semester_marks,previous_cgpa,final_score,performance_category,pass_fail
STU1050,22.0,Male,Mechanical,6,5.54,6.77,2.16,No,High,3.56,77.03,82.67,84.51,56.25,,47.06,Low,Fail
STU1051,23.0,Male,Computer Science,7,,7.98,6.65,Yes,Medium,2.12,57.1,100.0,79.99,66.54,4.93,42.36,Low,Fail
STU1052,22.0,Female,Civil,7,12.0,5.26,3.66,Yes,High,1.12,72.54,92.55,67.81,55.6,8.08,38.38,Low,Fail
STU1053,19.0,Female,Business,4,0.0,7.21,4.16,No,Medium,3.59,74.89,65.73,55.89,48.39,8.16,16.86,Low,Fail
STU1054,20.0,Female,Civil,1,,5.79,5.52,No,High,2.82,72.04,54.59,57.24,83.02,6.86,41.37,Low,Fail
STU1055,23.0,Male,Business,5,4.28,6.34,5.39,Yes,High,5.36,78.66,67.13,60.75,56.83,8.58,28.52,Low,Fail
STU1056,20.0,Male,Computer Science,4,5.72,6.59,4.56,No,Low,2.48,83.3,60.64,43.0,67.07,8.45,61.35,Average,Pass
STU1057,24.0,Male,Civil,6,4.89,4.7,3.58,No,Medium,1.74,88.24,,53.95,69.44,7.31,52.32,Average,Pass
STU1058,17.0,Male,Electronics,7,3.94,5.57,3.37,No,Medium,4.34,74.66,57.83,47.25,56.18,6.7,47.96,Low,Fail
STU1059,19.0,Female,Civil,7,3.58,8.12,5.72,Yes,Medium,4.39,55.15,71.13,86.84,86.76,,55.84,Average,Pass
STU1060,21.0,Female,Civil,7,5.82,7.56,5.11,No,Medium,3.25,72.21,82.06,76.66,48.24,7.16,17.63,Low,Fail
STU1061,19.0,Male,Civil,6,1.21,6.42,3.49,No,Medium,4.01,78.52,70.79,79.0,68.92,7.83,54.66,Average,Pass
STU1062,23.0,Other,Mechanical,7,6.88,6.79,6.16,No,Low,2.94,92.67,60.64,76.24,68.69,6.84,45.26,Low,Fail
STU1063,21.0,Female,Computer Science,3,3.96,6.15,,No,Low,3.35,71.19,86.1,70.34,64.19,4.78,51.96,Average,Pass
STU1064,17.0,Male,Mechanical,8,2.17,8.13,2.3,Yes,Medium,4.75,84.15,49.45,88.45,45.55,8.6,29.46,Low,Fail
STU1065,23.0,Male,Business,6,3.87,6.26,2.48,No,Low,3.94,81.48,68.07,59.45,78.06,7.41,76.23,Good,Pass
STU1066,18.0,Male,Business,5,8.14,6.78,2.04,No,Low,,78.53,71.5,69.49,76.15,6.78,76.64,Good,Pass
STU1067,20.0,Male,Computer Science,8,3.66,7.88,3.46,Yes,Low,5.03,89.17,72.19,78.46,54.87,8.14,48.79,Low,Fail
STU1068,17.0,Male,Computer Science,4,5.9,5.57,6.47,Yes,Medium,0.0,70.07,74.17,49.5,75.61,8.88,49.93,Low,Fail
STU1069,20.0,Male,Computer Science,5,3.17,8.37,2.39,Yes,Medium,6.08,71.1,79.33,100.0,70.62,4.12,55.82,Average,Pass
STU1070,22.0,Male,Civil,8,6.89,4.66,4.38,No,Low,0.44,77.86,71.58,68.4,45.79,7.68,53.74,Average,Pass
STU1071,18.0,Male,Civil,2,6.71,8.46,2.69,Yes,High,2.06,70.32,67.58,69.99,52.19,5.63,33.94,Low,Fail
STU1072,18.0,Female,Computer Science,7,9.62,6.05,3.48,No,,2.94,84.1,67.11,85.6,82.07,7.75,56.35,Average,Pass
STU1073,17.0,Male,Mechanical,2,4.56,6.21,0.98,No,Medium,2.78,69.44,64.66,80.81,69.64,7.34,37.79,Low,Fail
STU1074,18.0,Female,Civil,1,6.67,4.23,3.56,No,Medium,4.51,80.72,81.45,68.53,56.54,7.9,48.5,Low,Fail
STU1075,21.0,Male,Civil,1,5.25,5.95,3.61,No,Medium,1.41,76.8,64.24,69.82,52.12,6.65,49.16,Low,Fail
STU1076,18.0,Other,Mechanical,8,8.24,5.25,5.08,No,,3.39,80.58,82.16,46.94,57.27,5.14,49.33,Low,Fail
STU1077,20.0,Male,Mechanical,2,3.2,5.77,4.45,Yes,Low,2.13,,72.23,60.21,58.33,6.7,37.75,Low,Fail
STU1078,20.0,Male,Mechanical,6,6.86,6.34,1.6,No,Low,3.44,73.93,65.74,75.24,52.31,7.65,53.42,Average,Pass
STU1079,23.0,Female,Computer Science,5,4.51,7.65,6.17,Yes,High,2.9,79.15,79.42,74.21,38.87,8.32,29.18,Low,Fail
STU1080,20.0,Female,Mechanical,2,4.84,6.75,4.42,No,Medium,3.14,80.42,63.27,85.1,82.1,5.91,63.44,Average,Pass
STU1081,23.0,Female,Mechanical,1,5.23,,4.4,Yes,Medium,2.18,77.95,79.66,66.31,79.56,8.33,84.9,Excellent,Pass
STU1082,20.0,Male,Business,2,5.63,5.19,3.98,No,High,2.23,98.46,74.55,48.58,45.9,6.49,30.3,Low,Fail
STU1083,21.0,Male,Mechanical,6,4.71,5.44,2.96,No,Medium,3.43,66.11,64.84,82.79,67.04,7.6,50.65,Average,Pass
STU1084,24.0,Female,Civil,2,5.54,8.66,4.44,No,Medium,,77.23,78.34,88.11,51.47,6.64,38.1,Low,Fail
STU1085,23.0,Female,Computer Science,5,8.95,5.62,4.95,Yes,Medium,2.1,59.12,78.56,80.58,61.08,7.4,49.91,Low,Fail
STU1086,19.0,Female,Electronics,4,7.46,8.49,0.51,Yes,Low,,82.46,85.89,65.71,59.83,8.18,64.22,Average,Pass
STU1087,22.0,Female,Computer Science,6,7.17,6.21,2.92,No,Medium,3.92,64.62,83.59,82.62,58.58,5.85,44.3,Low,Fail
STU1088,17.0,Male,Computer Science,1,3.86,6.5,3.49,Yes,Medium,,74.66,77.9,100.0,95.04,6.45,93.08,Excellent,Pass
STU1089,20.0,Female,Civil,5,2.78,7.78,4.51,No,High,4.25,73.54,58.47,69.61,58.4,7.4,23.08,Low,Fail
STU1090,18.0,Male,Business,2,7.39,8.03,6.39,Yes,High,1.64,81.37,100.0,49.64,52.88,9.84,53.53,Average,Pass
STU1091,24.0,Male,Computer Science,2,7.19,6.37,2.46,No,,0.33,71.37,55.16,59.79,53.56,6.25,7.14,Low,Fail
STU1092,20.0,Male,Electronics,4,8.68,6.03,3.0,Yes,High,,70.86,83.39,76.76,80.66,9.44,63.78,Average,Pass
STU1093,18.0,Male,Civil,1,3.49,6.43,2.97,No,Medium,1.85,95.23,77.18,45.53,40.22,9.4,48.21,Low,Fail
STU1094,22.0,Male,Computer Science,1,4.43,,2.4,No,Medium,2.88,81.41,57.91,70.37,53.56,7.09,31.96,Low,Fail
STU1095,22.0,Male,Mechanical,3,0.9,,3.31,Yes,Medium,2.04,71.27,70.51,73.32,86.7,6.87,27.21,Low,Fail
STU1096,22.0,Female,Civil,1,4.02,6.51,5.54,Yes,Medium,4.11,74.99,71.05,89.49,68.66,6.44,51.61,Average,Pass
STU1097,18.0,Male,Mechanical,4,7.49,7.24,1.89,Yes,High,2.57,97.74,87.67,86.34,67.88,7.12,63.74,Average,Pass
STU1098,20.0,Female,Computer Science,7,3.83,8.47,4.86,No,Low,3.23,75.18,63.44,80.1,96.98,5.65,70.43,Good,Pass
STU1099,22.0,Male,Electronics,3,6.6,6.96,0.6,No,High,3.24,69.73,,37.72,68.7,7.12,52.38,Average,Pass
STU1100,21.0,Male,Civil,3,4.52,6.87,,No,High,3.29,69.78,43.97,80.89,54.38,8.85,20.82,Low,Fail
STU1101,23.0,Female,Mechanical,2,5.81,4.68,3.34,No,High,2.96,71.41,92.82,77.88,60.77,6.53,33.54,Low,Fail
STU1102,18.0,Male,Computer Science,2,2.13,,7.35,Yes,High,3.77,70.87,59.15,71.58,47.97,6.94,10.55,Low,Fail
STU1103,18.0,Male,Civil,1,5.21,6.97,3.45,Yes,Medium,1.81,62.64,75.92,43.78,83.84,5.33,50.34,Average,Pass
STU1104,20.0,Male,Computer Science,3,0.0,6.39,0.0,Yes,Low,5.1,64.51,70.78,57.13,73.62,7.61,49.63,Low,Fail
STU1105,18.0,Male,Civil,8,4.53,5.88,,Yes,Low,2.65,68.05,70.82,51.66,81.87,7.49,50.98,Average,Pass
STU1106,18.0,Other,Computer Science,2,0.92,6.79,4.07,No,Medium,1.03,85.1,81.72,39.79,83.19,7.27,56.14,Average,Pass
STU1107,22.0,Male,Business,4,8.01,6.43,5.23,No,Medium,3.28,73.43,92.06,67.96,58.79,6.96,55.92,Average,Pass
STU1108,20.0,Female,Electronics,8,6.94,,4.75,Yes,High,1.72,75.51,75.02,56.83,50.83,6.88,36.07,Low,Fail
STU1109,22.0,Male,Electronics,2,6.17,6.6,4.34,No,High,4.0,93.24,79.86,100.0,64.22,7.75,45.6,Low,Fail
STU1110,23.0,Female,Computer Science,6,8.8,5.6,6.32,No,Medium,,93.54,75.95,65.64,51.91,7.17,47.1,Low,Fail
STU1111,24.0,Female,Electronics,6,2.63,7.69,2.92,Yes,,1.82,74.61,84.21,86.11,67.47,7.55,35.66,Low,Fail
STU1112,23.0,Female,Business,2,9.37,6.24,5.79,Yes,Low,3.5,70.43,66.45,46.03,81.98,7.44,64.27,Average,Pass
STU1113,24.0,Male,Business,3,7.33,7.13,0.74,Yes,Low,0.37,67.63,84.9,60.58,62.48,8.44,58.12,Average,Pass
STU1114,22.0,Male,Electronics,7,4.41,5.93,2.19,No,Medium,3.68,86.31,85.33,69.36,67.25,7.94,56.02,Average,Pass
STU1115,23.0,Male,Electronics,7,7.84,5.72,0.39,No,Medium,1.67,75.54,84.99,55.29,63.59,7.41,55.46,Average,Pass
STU1116,20.0,Female,Civil,3,2.23,6.6,3.45,No,Low,2.06,73.36,64.08,62.09,77.04,8.87,53.11,Average,Pass
STU1117,17.0,Female,Business,5,2.94,6.52,3.91,Yes,Medium,1.35,68.24,69.98,64.95,54.98,7.66,35.84,Low,Fail
STU1118,22.0,Female,Mechanical,7,3.48,7.08,4.23,Yes,Low,4.1,68.76,74.87,64.73,32.05,,35.31,Low,Fail
STU1119,24.0,Male,Electronics,6,3.68,6.18,4.12,No,Medium,4.51,81.84,55.55,93.97,72.06,7.87,35.64,Low,Fail
STU1120,21.0,Female,Electronics,4,,4.3,2.14,No,Medium,3.04,62.21,91.14,73.3,79.82,5.17,41.95,Low,Fail
STU1121,24.0,Female,Mechanical,3,8.06,5.98,3.62,No,Medium,1.7,89.94,71.85,74.71,71.7,8.64,61.55,Average,Pass
STU1122,21.0,Male,Computer Science,1,4.35,7.45,1.01,No,Medium,5.38,71.59,75.41,75.56,55.4,7.35,33.47,Low,Fail
STU1123,18.0,Male,Mechanical,6,5.88,6.14,6.73,Yes,High,1.87,76.2,65.08,76.58,47.97,7.14,41.92,Low,Fail
STU1124,23.0,Female,Electronics,4,3.57,6.2,3.39,No,Low,0.0,61.96,56.08,66.84,72.42,7.51,35.69,Low,Fail
STU1125,21.0,Female,Civil,4,0.45,7.68,3.02,No,Medium,3.69,77.85,64.75,63.51,67.12,6.82,38.7,Low,Fail
STU1126,24.0,Female,Computer Science,3,5.68,5.65,7.18,Yes,Medium,1.34,74.06,74.63,70.34,63.11,7.45,50.44,Average,Pass
STU1127,18.0,Male,Mechanical,4,0.22,4.65,,No,Medium,4.48,77.4,80.08,84.2,92.34,6.55,63.8,Average,Pass
STU1128,17.0,Female,Electronics,3,4.83,6.31,,Yes,High,2.43,95.66,73.94,83.77,50.8,8.6,55.46,Average,Pass
STU1129,20.0,Male,Mechanical,7,1.58,5.92,1.81,Yes,Medium,3.91,80.13,76.16,64.63,91.63,7.08,65.69,Good,Pass
STU1130,20.0,Male,Computer Science,2,9.97,,3.86,Yes,Medium,5.1,68.46,,78.75,65.48,6.78,33.91,Low,Fail
STU1131,20.0,Male,Mechanical,6,7.28,6.29,4.86,Yes,Low,1.19,69.46,77.95,65.28,37.47,6.18,54.43,Average,Pass
STU1132,21.0,Female,Mechanical,5,5.26,7.09,5.48,Yes,Medium,2.15,85.14,89.79,68.47,62.31,7.5,72.16,Good,Pass
STU1133,17.0,Female,Mechanical,2,,6.49,9.14,Yes,,2.89,93.58,80.46,61.37,79.39,7.41,63.99,Average,Pass
STU1134,21.0,Female,Mechanical,6,2.88,6.87,0.0,No,Low,5.31,81.38,81.71,65.46,59.52,7.63,52.56,Average,Pass
STU1135,23.0,Male,Mechanical,3,,8.68,5.22,No,Medium,2.01,86.26,75.53,86.78,42.88,,35.68,Low,Fail
STU1136,21.0,Female,Civil,6,5.5,6.09,2.89,Yes,Medium,2.11,,53.96,69.29,62.53,5.44,26.72,Low,Fail
STU1137,17.0,Male,Computer Science,7,5.66,6.83,,Yes,Low,3.72,95.03,59.46,69.89,52.14,7.89,47.25,Low,Fail
STU1138,17.0,Female,Civil,3,8.18,5.89,2.76,No,Medium,2.13,54.6,,47.74,72.38,8.83,39.0,Low,Fail
STU1139,23.0,Male,Electronics,2,6.83,5.48,2.18,Yes,Medium,3.23,86.01,71.87,63.67,76.6,6.07,56.32,Average,Pass
STU1140,17.0,Male,Computer Science,1,5.72,5.8,7.37,Yes,Low,0.67,89.8,77.28,64.62,49.16,8.95,46.01,Low,Fail
STU1141,24.0,Male,Computer Science,1,0.86,5.93,5.68,No,Medium,6.32,61.94,92.12,56.39,54.41,7.51,24.16,Low,Fail
STU1142,17.0,Male,Electronics,8,2.6,6.93,4.05,No,Medium,0.98,67.37,80.71,68.3,76.35,7.19,46.0,Low,Fail
STU1143,20.0,Female,Civil,8,4.69,9.32,6.7,No,Medium,2.52,67.79,87.11,61.99,52.12,,30.51,Low,Fail
STU1144,24.0,Male,Civil,6,5.23,5.64,0.97,No,,,69.25,73.14,69.12,48.77,5.68,39.73,Low,Fail
STU1145,24.0,Male,Civil,1,2.17,6.0,1.34,Yes,Medium,5.87,72.22,62.31,69.7,47.32,8.29,39.59,Low,Fail
STU1146,23.0,Female,Mechanical,3,11.03,6.42,0.0,No,Medium,1.01,80.91,71.31,54.62,70.28,6.35,79.5,Good,Pass
STU1147,19.0,Male,Electronics,4,8.79,6.97,2.6,Yes,High,5.98,88.39,62.34,62.42,69.64,6.34,60.98,Average,Pass
STU1148,19.0,Female,Computer Science,3,6.51,6.82,4.32,Yes,Medium,4.14,90.98,,69.08,54.74,8.29,61.2,Average,Pass
STU1149,17.0,Female,Electronics,4,5.18,8.04,4.21,Yes,Low,3.63,67.95,81.48,84.58,65.08,5.13,50.59,Average,Pass
STU1150,24.0,Female,Electronics,2,4.47,3.59,4.3,No,Medium,1.52,67.86,78.25,71.59,87.91,5.52,55.89,Average,Pass
STU1151,19.0,Male,Computer Science,5,2.62,3.64,1.18,Yes,High,3.86,93.79,86.83,58.73,50.39,7.18,42.78,Low,Fail
STU1152,19.0,Female,Computer Science,4,5.19,5.9,5.61,No,Low,1.91,85.76,47.76,73.59,35.72,7.52,29.61,Low,Fail
STU1153,17.0,Female,Mechanical,1,5.64,7.82,4.48,No,High,4.9,78.99,79.06,91.91,71.83,7.73,57.79,Average,Pass
STU1154,19.0,Male,Civil,3,1.9,4.62,5.47,No,High,1.54,83.68,56.27,80.83,63.34,6.87,17.9,Low,Fail
STU1155,21.0,Male,Business,2,5.84,3.0,0.21,No,Low,2.83,,71.91,75.67,54.35,9.98,48.86,Low,Fail
STU1156,18.0,Female,Business,1,4.61,7.19,4.62,No,High,2.17,84.3,68.26,78.16,74.78,6.95,50.83,Average,Pass
STU1157,23.0,Female,Mechanical,2,0.23,6.79,1.62,No,Medium,1.52,73.97,79.94,88.16,77.59,6.95,46.46,Low,Fail
STU1158,18.0,Female,Electronics,5,2.85,5.19,3.21,Yes,High,4.11,81.23,74.74,83.06,31.88,6.32,24.43,Low,Fail
STU1159,17.0,Female,Mechanical,7,3.97,5.32,5.07,No,Medium,3.8,59.87,88.14,75.93,55.21,7.34,37.03,Low,Fail
STU1160,20.0,Female,Civil,3,9.72,5.34,4.18,No,Medium,4.81,69.75,64.78,82.96,99.76,7.88,60.11,Average,Pass
STU1161,23.0,Male,Computer Science,6,6.39,6.63,2.3,No,Medium,,69.88,80.51,52.86,73.75,8.52,61.48,Average,Pass
STU1162,17.0,Male,Electronics,3,1.66,5.75,4.01,No,High,4.6,73.51,73.95,46.97,75.14,5.56,20.93,Low,Fail
STU1163,24.0,Male,Civil,8,6.22,7.09,0.94,No,Low,6.76,66.88,,70.2,82.59,6.93,55.96,Average,Pass
STU1164,20.0,Female,Electronics,5,1.13,3.07,6.3,No,Medium,2.32,71.6,60.98,68.96,65.26,7.69,37.88,Low,Fail
STU1165,18.0,Male,Mechanical,3,7.71,5.47,3.59,No,Low,5.84,59.83,70.2,60.39,76.95,7.85,43.83,Low,Fail
STU1166,17.0,Female,Mechanical,8,3.82,5.15,6.24,No,Medium,2.61,84.58,85.35,79.56,75.77,7.21,58.29,Average,Pass
STU1167,24.0,Female,Computer Science,6,4.77,6.19,2.95,Yes,Medium,0.94,77.01,77.56,41.92,73.09,7.8,41.11,Low,Fail
STU1168,23.0,Female,Electronics,4,8.31,5.85,2.95,No,Medium,2.54,57.54,57.99,60.51,60.17,6.31,48.09,Low,Fail
STU1169,23.0,Male,Electronics,2,1.78,7.46,2.47,No,Medium,4.57,67.98,70.32,61.21,67.58,8.91,26.72,Low,Fail
STU1170,22.0,Female,Computer Science,6,,4.27,5.75,No,Low,1.74,82.04,96.21,45.09,56.17,8.29,39.95,Low,Fail
STU1171,24.0,Male,Computer Science,1,3.54,6.55,2.58,No,Low,2.1,71.48,73.33,88.93,65.19,5.72,38.45,Low,Fail
STU1172,21.0,Female,Civil,5,7.6,7.17,5.29,Yes,Low,3.89,69.64,68.07,48.97,47.47,6.02,28.7,Low,Fail
STU1173,19.0,Male,Computer Science,4,1.2,8.73,3.24,No,Medium,3.0,77.1,77.9,59.76,53.14,6.05,48.91,Low,Fail
STU1174,20.0,Male,Mechanical,1,0.0,5.92,0.05,No,High,3.88,82.12,81.16,80.71,60.77,7.95,41.06,Low,Fail
STU1175,24.0,Female,Computer Science,1,3.87,6.89,2.86,No,Low,3.36,60.76,66.53,77.04,50.84,,36.85,Low,Fail
STU1176,22.0,Male,Business,5,6.38,4.34,1.64,Yes,High,3.72,84.6,78.03,52.49,57.42,6.84,34.92,Low,Fail
STU1177,19.0,Male,Computer Science,4,8.0,3.63,4.07,No,Medium,2.35,68.4,68.05,77.55,62.54,7.7,55.2,Average,Pass
STU1178,19.0,Female,Electronics,7,3.84,7.51,1.62,No,Medium,3.35,77.78,80.63,72.06,71.03,7.13,42.51,Low,Fail
STU1179,17.0,Female,Business,1,,6.49,5.85,Yes,Medium,1.61,77.57,74.04,100.0,79.24,7.48,69.64,Good,Pass
STU1180,19.0,Female,Civil,1,7.88,7.91,3.82,Yes,High,4.93,71.68,77.78,73.66,58.04,6.03,34.18,Low,Fail
STU1181,21.0,Female,Computer Science,4,0.33,4.85,3.64,Yes,Low,2.05,65.72,,66.02,85.03,7.85,44.13,Low,Fail
STU1182,23.0,Female,Civil,3,4.03,7.12,5.31,No,Medium,4.69,74.57,62.14,56.01,79.08,6.53,51.47,Average,Pass
STU1183,22.0,Male,Electronics,1,5.48,8.74,5.93,Yes,Medium,2.65,97.5,83.35,57.58,72.56,6.84,71.52,Good,Pass
STU1184,19.0,Male,Electronics,2,6.12,7.0,,Yes,Medium,3.3,61.66,,56.44,67.3,7.46,49.88,Low,Fail
STU1185,17.0,Male,Computer Science,4,3.73,6.83,2.46,No,High,2.26,98.31,75.42,87.2,69.79,7.31,41.08,Low,Fail
STU1186,21.0,Female,Computer Science,1,5.09,6.51,0.45,Yes,Low,1.48,74.88,,68.25,82.81,7.23,58.34,Average,Pass
STU1187,18.0,Female,Civil,5,0.0,4.61,2.63,Yes,Medium,0.38,,82.78,75.91,83.35,6.37,56.48,Average,Pass
STU1188,23.0,Male,Electronics,6,3.35,8.13,2.77,No,Medium,1.42,64.96,64.71,89.2,85.02,6.87,41.75,Low,Fail
STU1189,23.0,Male,Electronics,2,6.13,5.77,4.21,No,Medium,2.51,68.74,70.37,34.98,65.62,7.2,50.68,Average,Pass
STU1190,22.0,Female,Civil,8,2.54,7.11,3.31,No,Medium,,71.97,,85.9,73.32,5.69,25.35,Low,Fail
STU1191,23.0,Male,Civil,8,,4.62,5.38,Yes,Medium,4.52,65.45,86.08,68.78,85.15,6.69,50.77,Average,Pass
STU1192,19.0,Female,Computer Science,6,6.12,5.08,2.77,No,High,2.33,75.49,65.71,74.09,55.64,7.63,28.79,Low,Fail
STU1193,17.0,Male,Mechanical,8,4.14,8.22,3.89,No,Medium,1.68,73.12,95.52,56.4,60.22,5.79,16.13,Low,Fail
